city,name,latitude,longitude,address,rating,user_ratings_total
Antalya,Emba belek holidays,36.8859748,30.6980245,"Kışla mah. Güllük caddesi.selekler çarşı, B block , no:25, Muratpaşa, 07100 Muratpaşa/Antalya, Türkiye",5.0,6
Antalya,Mediterranean City Park,36.8770689,30.6597117,"Arapsuyu, Dumlupınar Blv. No:147, 07070 Konyaaltı/Antalya, Türkiye",4.6,2574
Antalya,Dervish Lodge Museum,36.8869309,30.7044214,"Selçuk, Selçuk Mah No:36, 07100 Muratpaşa/Antalya, Türkiye",4.7,145
Antalya,Umbrella street,36.8868897,30.7074888,"Tuzcular, 07100 Muratpaşa/Antalya, Türkiye",3.4,70
Antalya,Kecili Park,36.882957,30.703571,"Kılınçarslan, Civelek Sk. No:34, 07100 Muratpaşa/Antalya, Türkiye",4.6,195
Antalya,Demircikara waterfall,36.8730304,30.7154768,"Demircikara, 07100 Muratpaşa/Antalya, Türkiye",4.1,19
Antalya,Beach Park,36.876207,30.660529,"Dumlupınar Bulv., Konyaaaltı Koruluğu Yanı, Antalya Merkez, Antalya, Türkiye",4.7,1940
Bursa,Green Tomb,40.1815417,29.0749137,"Yeşil, 1. Yeşil Cd. 66-1, 16360 Yıldırım/Bursa, Türkiye",4.8,4497
Bursa,Koza Han,40.1844815,29.0635282,"Osmangazi, Uzunçarşı Cd., 16010 Osmangazi̇/Bursa, Türkiye",4.5,30948
Bursa,Tomb of Osman Gazi,40.1867258,29.0573573,"Osmangazi, Yiğitler Cd. No:4, 16040 Osmangazi̇/Bursa, Türkiye",4.8,6386
Bursa,Muradiye Complex,40.1906437,29.04593879999999,"Muradiye, Prf. Dr. Halil İnalcık Sk., 16050 Osmangazi̇/Bursa, Türkiye",4.8,2375
Bursa,Tophane Clock Tower,40.1875349,29.057522,"Osmangazi, Tophane Parkı, Yiğitler Cd., 16040 Osmangazi̇/Bursa, Türkiye",4.7,23474
Bursa,Bursa City Museum,40.1823757,29.0664314,"Hocaalizade, 6. Kültür Sk. No:8, 16010, 16010 Osmangazi̇/Bursa, Türkiye",4.7,3078
Bursa,Bursa Grand Mosque,40.1838595,29.0618687,"Nalbantoğlu, Ulucami Cd. No:2, 16010 Osmangazi̇/Bursa, Türkiye",4.9,40500
Bursa,Sultan's Mansion Museum,40.1741364,29.0650986,"Mollaarap, Köşk Cd. No:2, 16360 Yıldırım/Bursa, Türkiye",4.6,3234
Bursa,İnkaya Historical Plane Tree,40.1823442,29.0167205,"İnkaya, Uludağ Cd. No:163, 16370 Osmangazi̇/Bursa, Türkiye",4.4,25078
Bursa,Reşat Oyal Culture Park,40.1946716,29.0446745,"Gaziakdemir, Çekirge Cd. No:6, 16190 Osmangazi̇/Bursa, Türkiye",4.3,10480
Bursa,Kaplıkaya Growth Center,40.1767236,29.1261346,"Kaplıkaya, 16310 Yıldırım/Bursa, Türkiye",4.0,6162
Bursa,Bursa Archaeological Museum,40.1958261,29.0410039,"Gaziakdemir, Kültür Park, Çekirge Cd. 4/11 D:1, 16050 Osmangazi̇/Bursa, Türkiye",4.5,899
